timestamp,attention,meditation,delta,theta,alpha,beta,gamma,label
1748861432.5295825,69,74,1042,5492,6130,4234,1534,concentrado
1748861433.52369,67,63,3302,5991,4595,4527,699,concentrado
1748861434.5202248,63,66,11525,10674,5848,5111,2110,concentrado
1748861435.5164025,67,67,4547,1969,6745,4747,1934,concentrado
1748861436.517091,64,67,13612,4680,5097,3254,899,concentrado
1748861437.5099683,64,63,133923,10747,5580,7077,1401,concentrado
1748861438.5072024,63,74,4673,5827,7895,3519,1433,concentrado
1748861439.506041,56,75,2603,3914,8081,2841,1383,concentrado
1748861440.5079138,54,70,4934,5325,3620,3777,1330,concentrado
1748861441.5115755,61,61,26451,11747,2233,6214,1552,concentrado
1748861442.5337372,61,50,2547,11095,5391,5290,1402,concentrado
1748861443.5240014,61,38,2962,7574,4504,4298,2496,concentrado
1748861444.550213,77,41,13564,2462,4924,5696,883,concentrado
1748861445.5177295,77,51,371778,38914,23684,27165,6537,concentrado
1748861446.5448663,75,57,5100,8146,5641,3498,1436,concentrado
1748861447.5453281,69,69,2473,4199,6713,1776,1293,concentrado
1748861448.51276,57,67,110759,10416,7440,4405,1212,concentrado
1748861449.5084312,61,69,4513,4464,6401,12443,1739,concentrado
1748861450.5110898,51,83,2217,7454,17964,2674,1609,concentrado
1748861451.5067937,56,77,4336,8354,6756,3619,2664,concentrado
1748861453.5312989,35,61,97485,22483,1320,5581,1344,concentrado
1748861454.529803,47,54,3479,4708,7893,3740,1217,concentrado
1748861455.5333967,50,51,3858,6802,4186,5461,943,concentrado
1748861456.52628,57,48,394355,13535,27705,31227,11614,concentrado
1748861457.5235224,78,70,4264,4021,3379,4837,855,concentrado
1748861458.5154927,75,77,10440,4957,13531,4470,2021,concentrado
1748861459.5461533,64,87,9881,5831,10806,3472,1131,concentrado
1748861460.5119529,51,78,2900,10169,4229,4514,2063,concentrado
1748861461.540323,37,61,42189,27599,2888,5211,1533,concentrado
1748861462.544234,40,64,7869,2678,7751,1527,1363,concentrado
1748861463.5368502,44,57,112455,6669,7624,5233,1880,concentrado
1748861464.5324423,54,63,8253,3152,2638,2484,2600,concentrado
1748861465.5244248,61,87,25003,3743,5007,3822,1110,concentrado
1748861466.5236392,57,77,10260,12995,16226,8711,1259,concentrado
1748861467.523798,69,74,5930,2017,3038,4391,1435,concentrado
1748861468.5171123,70,77,6690,5173,7104,5411,1751,concentrado
1748861469.5166843,77,78,2581,4575,6313,4160,2918,concentrado
1748861470.5422065,83,75,2845,3148,3311,2373,2380,concentrado
1748861471.5077865,69,80,4765,4471,6774,4488,1719,concentrado
1748861472.534663,63,80,1199,4395,5678,3998,2042,concentrado
1748861473.5278087,60,78,6751,5482,5448,4084,1436,concentrado
1748861474.524269,51,78,4491,12286,9261,3899,983,concentrado
1748861475.5191274,54,78,9475,2623,6005,4587,1198,concentrado
1748861477.5134885,64,78,3935,5978,5321,6503,1781,concentrado
1748861478.507827,56,69,54800,37782,12744,3436,1707,concentrado
1748861479.5420198,54,64,14455,7406,5419,4341,1257,concentrado
1748861480.5046277,44,56,1936,6609,3185,1464,1599,concentrado
1748861481.52848,34,67,5595,4962,13372,5520,2568,concentrado
1748861482.5281444,34,61,237368,48201,7765,6559,1336,concentrado
1748861483.5236845,38,66,1517,4024,7325,5497,2998,concentrado
1748861484.5209148,41,64,3683,12904,6422,3730,1376,concentrado
1748861485.523825,40,56,4302,9835,8445,4687,1540,concentrado
1748861486.5196207,47,57,185180,27274,5336,4423,503,concentrado
1748861487.5198607,47,50,7983,9700,6212,6653,2401,concentrado
1748861488.5194328,50,64,1381,1286,5959,2851,1233,concentrado
1748861489.5478995,63,69,3751,2526,7541,4881,2010,concentrado
1748861490.5151815,78,90,4748,2784,6931,3898,1488,concentrado
